id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,notes
BR-RN-RIC-048,Bagni Mauro 78 Riccione Spiaggia,"Lungomare della Libertà, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0037572,12.6612462,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-049,Spiaggia libera Columbus,"Lungomare della Repubblica 7, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0036926,12.6621951,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-050,Spiaggia 76,"Lungomare della Repubblica 76, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0029088,12.6629281,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-051,Golden Beach 75,"Lungomare della Repubblica 75, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0026061,12.6629098,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-052,Bagno 74 Zanarini,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0024441,12.6633397,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-053,Beach 74 Piccioni Carlo Alberto,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0023445,12.6632789,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-054,Spiaggia 73 Riccione,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0022666,12.6636335,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-055,Bagni Ivano 72,"Lungomare della Repubblica 72, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0018817,12.6639438,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-056,Bagno 71,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0018002,12.6641714,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-057,Bagno 70,"Lungomare della Repubblica 70, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0014964,12.6644756,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-058,Bagno 69,"Lungomare della Repubblica 72, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0013498,12.6647168,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-059,Bagni Ettore 68,"Lungomare della Repubblica 68, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0011103,12.6649198,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-060,Bagno 67 Vittorio Riccione,"Lungomare della Repubblica 66, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.00101,12.6654433,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-061,Bagno Cesare 66,"Lungomare della Repubblica 66, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0006068,12.6657221,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-062,Bagni Mario 65,"Lungomare della Repubblica 65, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0005079,12.6660754,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-063,Bagni Gianni 64 Riccione,"Lungomare della Repubblica 64, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0001721,12.6666239,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-064,Bagni Speranzino 63,"Lungomare della Repubblica 63, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0000118,12.6670066,lat/lng to be filled via overrides/geocoding pipeline.
