id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,override_source,locality_hint
BR-RN-077,Spiaggia 90,"Lungomare Giuseppe di Vittorio 40/a, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0484736,12.6034589,GOOGLE_EARTH,
BR-RN-078,Lido San Giuliano,"Viale Ortigara, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0755969,12.5672599,GOOGLE_EARTH,
BR-RN-079,Bagno Riviera 1 di Rimini a Rivabella,"Viale Paolo Toscanelli 5\A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0758409,12.5610058,GOOGLE_EARTH,
BR-RN-080,Bagno Celli N. 6,"Viale Paolo Toscanelli 37, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0781752,12.5548464,GOOGLE_EARTH,
BR-RN-081,Lazy Beach Bagno 7 Rivabella,"Viale Paolo Toscanelli 39a, 47921 Rivabella RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0785791,12.5540347,GOOGLE_EARTH,Rivabella
BR-RN-082,Bagno 10 Vatikaki,"Viale Paolo Toscanelli, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0797193,12.5517577,GOOGLE_EARTH,
BR-RN-083,Dolcevita 11 Beach Club & Restaurant,"Viale Paolo Toscanelli 59-63, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0797648,12.5511433,GOOGLE_EARTH,
BR-RN-084,Bagno 16 Club del Sole,"Viale Paolo Toscanelli, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0809110,12.5495799,GOOGLE_EARTH,
BR-RN-085,Kalima Beach Club - N. 17,"Viale Paolo Toscanelli 71, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0822847,12.5471436,GOOGLE_EARTH,
BR-RN-086,Bagno 18 Golden Beach,"Viale Paolo Toscanelli 73, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0831595,12.5459646,GOOGLE_EARTH,
BR-RN-087,Bagno 19 Bruno,"Viale Giuliano Dati, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0837260,12.5451256,GOOGLE_EARTH,Viserba
BR-RN-088,Spiaggia Vistamare Viserba 19-20,"Viale Paolo Toscanelli 83, 47921 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0841698,12.5443891,GOOGLE_EARTH,Viserba
BR-RN-089,Bagno Gastone 21,"Viale Giuliano Dati 1, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0843047,12.5443268,GOOGLE_EARTH,Viserba
BR-RN-090,Bagno 22 Anna,"Viale Giuliano Dati 1/C, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0849374,12.5435144,GOOGLE_EARTH,Viserba
BR-RN-091,Bagno Marinagrande Di Viserba,"Viale Giuliano Dati 19, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0861846,12.5417113,GOOGLE_EARTH,Viserba
BR-RN-092,Bagno N°27 Marinagrande,"Viale Giuliano Dati 29, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0871534,12.5402153,GOOGLE_EARTH,
BR-RN-093,Playa Tamarindo,"Viale Giuliano Dati 47/D, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0879287,12.5391162,GOOGLE_EARTH,
BR-RN-094,Bagno 31 playa tamarindo,"Viale Giuliano Dati 93, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0883588,12.5385781,GOOGLE_EARTH,Viserba
BR-RN-095,Bahia Rico's Spiagge 35/36 Viserba,"Viale Giuliano Dati 105A, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0898351,12.5362525,GOOGLE_EARTH,Viserba
BR-RN-096,Bagno 37 Pietro,"Viale Giuliano Dati 111 a, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0906944,12.5348672,GOOGLE_EARTH,Viserba
BR-RN-097,Bagno 38 Egisto,"Viale Giuliano Dati 113H, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0907810,12.5344033,GOOGLE_EARTH,Viserba
BR-RN-098,Spiaggia 39 Cigno,"Viale Porto Palos 3a, 47922 Viserbella RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0919688,12.5335241,GOOGLE_EARTH,Viserbella
BR-RN-099,Bagno 40/42 Angelo,"Viale Porto Palos 3, 47922 Viserbella RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0925443,12.5330774,GOOGLE_EARTH,Viserbella
BR-RN-100,Spiagge Salsedine 44-45,"Viale Porto Palos 31, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0942722,12.5294270,GOOGLE_EARTH,
